TpepPickupDatetime,TpepDropoffDatetime,PassengerCount,TripDistance,StoreAndFwdFlag,PULocationID,DOLocationID,FareAmount,TipAmount
1/1/2020 12:55:08 AM,1/1/2020 12:56:11 AM,1,0,No,107,107,3,0
1/1/2020 1:42:35 AM,1/1/2020 1:44:33 AM,3,0.75,No,263,236,-4,0
1/1/2020 1:42:35 AM,1/1/2020 1:44:33 AM,3,0.75,No,263,236,4,0
1/1/2020 1:41:32 AM,1/1/2020 1:43:05 AM,1,0.11,No,142,142,-3,0
1/1/2020 1:41:32 AM,1/1/2020 1:43:05 AM,1,0.11,No,142,143,3,0
1/1/2020 1:40:36 AM,1/1/2020 1:42:14 AM,1,0.52,No,237,236,-3.5,0
1/1/2020 1:40:36 AM,1/1/2020 1:42:14 AM,1,0.52,No,237,236,3.5,0
1/1/2020 1:41:28 AM,1/1/2020 2:12:02 AM,1,9.57,No,88,146,-31,0
1/1/2020 1:41:28 AM,1/1/2020 2:12:02 AM,1,9.57,No,88,146,31,0
1/1/2020 1:53:01 AM,1/1/2020 1:54:42 AM,3,0.15,No,164,164,-3,0
1/1/2020 1:53:01 AM,1/1/2020 1:54:42 AM,3,0.15,No,164,164,3,0
1/1/2020 1:35:06 AM,1/1/2020 1:40:59 AM,1,0.96,No,13,88,-6.5,0
1/1/2020 1:35:06 AM,1/1/2020 1:40:59 AM,1,0.96,No,13,88,6.5,0
1/1/2020 1:59:01 AM,1/1/2020 2:00:53 AM,1,0,No,233,233,-90,0
1/1/2020 1:59:01 AM,1/1/2020 2:00:53 AM,1,0,No,233,233,90,0
1/1/2020 1:42:54 AM,1/1/2020 1:56:40 AM,1,5.88,No,263,79,18.5,4.46
1/1/2020 1:42:54 AM,1/1/2020 1:56:40 AM,1,2.2,No,162,48,11,2.95
1/1/2020 1:56:28 AM,1/1/2020 2:01:32 AM,1,0.87,No,113,114,-5.5,0
1/1/2020 1:56:28 AM,1/1/2020 2:01:32 AM,1,0.87,No,113,114,5.5,0
1/1/2020 1:13:50 AM,1/1/2020 1:14:59 AM,1,0.35,No,132,132,-3.5,0
1/1/2020 1:13:50 AM,1/1/2020 1:14:59 AM,1,0.35,No,132,132,3.5,0
1/1/2020 1:47:22 AM,1/1/2020 1:49:50 AM,1,0.18,No,161,230,-3.5,0
1/1/2020 1:47:22 AM,1/1/2020 1:49:50 AM,1,0.18,No,161,230,3.5,0
1/1/2020 1:58:07 AM,1/1/2020 2:01:48 AM,2,0.71,No,79,137,-4.5,0
1/1/2020 1:58:07 AM,1/1/2020 2:01:48 AM,2,0.71,No,79,137,4.5,0
1/1/2020 1:08:15 AM,1/1/2020 1:15:04 AM,2,1.34,No,186,158,-6.5,0
1/1/2020 1:08:15 AM,1/1/2020 1:15:04 AM,2,1.34,No,186,158,6.5,0
1/1/2020 1:08:11 AM,1/1/2020 1:09:04 AM,1,0,No,229,229,-2.5,0
1/1/2020 1:08:11 AM,1/1/2020 1:09:04 AM,1,0,No,229,229,2.5,0
1/1/2020 1:17:27 AM,1/1/2020 1:27:36 AM,2,1.65,No,107,100,-9,0
1/1/2020 1:17:27 AM,1/1/2020 1:27:36 AM,2,1.65,No,107,100,9,0
1/1/2020 1:58:44 AM,1/1/2020 2:02:23 AM,1,0.7,No,170,107,-4.5,0
1/1/2020 1:58:44 AM,1/1/2020 2:02:23 AM,1,0.7,No,170,107,4.5,0
1/1/2020 1:58:44 AM,1/1/2020 1:59:50 AM,1,0.02,No,261,261,-2.5,0
1/1/2020 1:58:44 AM,1/1/2020 1:59:50 AM,1,0.02,No,261,261,2.5,0
1/1/2020 1:05:05 AM,1/1/2020 1:11:14 AM,1,0.94,No,246,100,-6,0
1/1/2020 1:05:05 AM,1/1/2020 1:11:14 AM,1,0.94,No,246,100,6,0
1/1/2020 1:00:07 AM,1/1/2020 1:21:36 AM,1,3.32,No,164,231,-15.5,0
1/1/2020 1:00:07 AM,1/1/2020 1:21:36 AM,1,3.32,No,164,231,15.5,0
1/1/2020 1:26:05 AM,1/1/2020 1:31:33 AM,1,0.97,No,68,234,-6,0
1/1/2020 1:26:05 AM,1/1/2020 1:31:33 AM,1,0.97,No,68,234,6,0
1/1/2020 1:34:22 AM,1/2/2020 12:34:56 AM,1,0.77,No,263,141,-5,0
1/1/2020 1:34:22 AM,1/2/2020 12:34:56 AM,1,0.77,No,263,141,5,0
1/1/2020 1:05:34 AM,1/1/2020 1:05:58 AM,1,0,No,61,61,-2.5,0
1/1/2020 1:05:34 AM,1/1/2020 1:05:58 AM,1,0,No,61,61,2.5,0
